id,Date,Ticker,Open,Close,High,Low,Volume
1,2025-04-11,AAPL,185.29,197.29,198.67,185.25,87435900
2,2025-04-14,AAPL,210.52,201.64,212.02,200.29,101352900
3,2025-04-15,AAPL,200.98,201.26,202.63,198.93,51343900
4,2025-04-16,AAPL,197.5,193.43,199.83,191.54,59732400
5,2025-04-17,AAPL,196.34,196.13,197.97,193.58,52164700
6,2025-04-21,AAPL,192.43,192.32,192.96,188.99,46742500
7,2025-04-22,AAPL,195.27,198.87,200.72,195.12,52976400
8,2025-04-23,AAPL,205.11,203.71,207.1,201.92,52929200
9,2025-04-24,AAPL,204.0,207.47,207.92,202.06,47311000
10,2025-04-25,AAPL,205.47,208.37,208.84,205.31,38222300
11,2025-04-28,AAPL,209.09,209.23,210.58,206.56,38743100
12,2025-04-29,AAPL,207.78,210.29,211.32,207.47,36827600
13,2025-04-30,AAPL,208.39,211.58,212.65,205.77,52286500
14,2025-05-01,AAPL,208.17,212.39,213.63,207.99,57365700
15,2025-05-02,AAPL,205.2,204.46,206.09,201.28,101010600
16,2025-05-05,AAPL,202.22,198.03,203.21,197.35,69018500
17,2025-05-06,AAPL,197.35,197.65,199.78,196.17,51216500
18,2025-05-07,AAPL,198.31,195.4,198.57,192.41,68536700
19,2025-05-08,AAPL,196.86,196.63,199.18,193.84,50478900
20,2025-05-09,AAPL,198.14,197.67,199.67,196.68,36453900
21,2025-05-12,AAPL,210.33,210.15,210.63,206.12,63775800
22,2025-05-13,AAPL,209.79,212.28,212.75,208.37,51909300
23,2025-05-14,AAPL,211.79,211.69,213.29,209.94,49325800
24,2025-05-15,AAPL,210.31,210.81,212.31,208.9,45029500
25,2025-05-16,AAPL,211.72,210.62,211.93,209.13,54737900
26,2025-05-19,AAPL,207.28,208.15,208.84,203.64,46140500
27,2025-05-20,AAPL,207.04,206.23,207.84,204.41,42496600
28,2025-05-21,AAPL,204.55,201.48,206.41,200.1,59211800
29,2025-05-22,AAPL,200.1,200.75,202.13,199.09,46742400
30,2025-05-23,AAPL,193.08,194.68,197.1,192.87,78432900
31,2025-05-27,AAPL,197.7,199.6,200.13,196.83,56288500
32,2025-05-28,AAPL,199.98,199.81,202.11,199.29,45339700
33,2025-05-29,AAPL,202.96,199.34,203.19,197.91,51396800
34,2025-05-30,AAPL,198.77,200.24,201.35,196.18,70819900
35,2025-06-02,AAPL,199.67,201.09,201.52,199.51,35423300
36,2025-06-03,AAPL,200.74,202.65,203.15,200.35,46381600
37,2025-06-04,AAPL,202.29,202.2,205.61,201.49,43604000
38,2025-06-05,AAPL,202.88,200.02,204.13,199.54,55126100
